"Rayalaseema College of Education 19-8-150, Rayalaseema Nagar, Bairagipatteda, Tirupati Chittoor Dist 517501 Andhra Pradesh ",,
"S. B. V. R. Degree College, Badvel, Kadapa – 516227 ",,
"S. C. N. R. Government Degree College, Kadapa – 510360 ",,
S. T. S. N. Government Degree College Kadiri - 515591 ,,
"S.G.A. Government Degree College, Visakhapatnam Dist, 531005 ",,
"S.K.P. Government College, Guntakal, Anantapur Dist, 515803 ",,
"S.K.R. & S.K.R. Government College for Women,Kadapa, 516001 Andhra Pradesh ",,
"S.K.R. Government Degree College, Gudur, SPSR, Nellore, 524102
 Andhra Pradesh  
",,
"S.V.C.R. Government Degree College, Dist. Chittoor, 517408 ",,
"S.V.D. Government Degree College for Women, Nidadavole, West Godavari Dist, 534301 ",,
"S.V.G.M. Government Degree College Kalyandurg Anantapur Dist 515761,Andhra Pradesh ",,
"S.V.R.K Government Degree College (Men), Nidadavole, West Godavari Dist,  Andhra Pradesh ",,
"Sagi Rama Krishnam Raju Engineering College, Bhimavaram – 534204    ",,
"Sanjay Gandhi  Government Degree College, Piler, Chittoor Dist, Andhra Pradesh  ",,
"Sasi Institute of Technology & Engineering, Tadepalligudem, West Godavari Dist, 534101  ",,
"Shree Velagapudi Ramakrishna Memorial College (Autonomous), Nagaram, Guntur Dist, 522268 ",,
"Shri Vishnu Engineering College (Women) (Autonomous), West Godavari Dist, 534202 ",,
"Siddartha Institute of Science and Technology, ",,
"Siddharth Institute of Engineering and Technology, Puttur – 517583 ",,
"Silver Jubilee Government College (Autonomous) B. Camp Kurnool 518002, Andhra Pradesh ",,
"Smt. N.P. Savithramma Government College for Women, Chittoor Dist, 517002 
(Second Cycle)
",,
"Sree Vasavi Kanyaka Parameswari Arts, Science & Commerce College, Prakasam Dist, 523316 ",,
"Sreenivasa Institute of Technology & Management Studies (Autonomous),Chittoor, 517127 ",,
"Sri A. B. R. Government Degree College Repalle, Guntur – 522265 ",,
"Sri A.S.N.M Government College, Palakol, West Godavari Dist, 534260 ",,
"Sri Bijivemula Veera Reddy College of Education Badvel Kadapa Dist 516227, Andhra Pradesh ",,
"Sri Chintalapati Varaprasada Murthy Raju Government Degree College, West Godavari – 534198  ",,
"Sri Dasari Narayana Rao Government Degree College for Women, West Godavari, Palacole – 534260  ",,
"Sri Mahayogi Lakshamma Government Degree College, Yammiganur, Kurnool Dist, 518360 ",,
"Sri Ramakrishna Degree College (Autonomous), Kurnool Dist, 518501 ",,
"Sri Sai Baba National Degree College (Autonomous), Anantapur, Andhra Pradesh ",,
"Sri Sivani College of Engineering NH-16, Chilakapalem Jn., Etcherla Mandal Srikakulam Dist 532402, Andhra Pradesh  ",,
"Sri V.S. Sivalingam Chettiar Government Degree College, Sullurpet, 524121 ",,
"Sri Vasavi Engineering College, Tadepalligudem – 534101 ",,
"Sri Venkateswara College of Engineering And Technology (Autonomous), Chittoor, 517127 (First Cycle, Re-assessment)",,
"Sri Venkateswara College of Engineering and Technology, Srikakulam – 532410 ",,
"Srinivasa Ramanujan Institute of Technology, Rotarypuram, B. K. Samudram, Anantapur – 515701 ",,
"St. Joseph’s College for Women (Autonomous), Gnanapuram, Visakhapatnam, 530004 ",,
"St. Mary’s Group of Institutions Guntur, Chebrolu (V&M), Guntur – 522212 (First Cycle",,
"St. Mary’s Women’s Engineering College, Budampadu, Guntur – 522017 ",,
"Subharam Government Degree College, Chittoor – 517247  ",,
"Swarnandhra Institute of Engineering & Technology, Narsapur, Dist. West Godavari, 534280 ",,
"T.R.R. Government Degree College, Kandukur, Prakasam Dist, 523105 Andhra Pradesh ",,
"T.S.R. & E.R.R. Government Degree College, Pamarru, Krishna Dist, 521157  ",,
"The Adoni Arts & Science College, Adoni, Kurnool Dist, 518302  ",,
"Usha Rama College of Engineering and Technology, Telaprolu, Krishna, Vijayawada – 521109 ",,
"V. R. S. and Y. R. N. College, Chirala – 523157 ",,
"V.S.M. College, Ramachandrapuram, East Godavari Dist, 533255 ",,
"Vasireddy Venkatadri Institute of Technology, Guntur – 522508 ",,
"Velagapudi Ramakrishna Siddhartha Engineering College (Autonomous),Kanuru, Vijayawada, Andhra Pradesh ",,
"Vemu Institute of Technology, P. Kothakota, Pakala, Chittoor – 517112 ",,
"Vidyalaya College of Education, Chittoor Dist, 517507 ",,
"Visakha Government Degree College for Women, Visakhapatnam – 530020  ",,
"Vishnu Institute of Technology,Bhimavaram, 534202 ",,
"Visvodaya Government Degree College, Venkatagiri, SPSR Nellore Dist, 524132 Andhra Pradesh ",,
"Viswa Kavi Vermana Government Degree College, Kousika Canal Road, Kothapeta, 533223 Andhra Pradesh ",,
"VSM College of Engineering, Ramachandrapuram – 533255 ",,
"A. J. College of Education, Rajupeta, Machilipatnam, Krishna – 521001  ",,
"Aditya Degree College, Kakinada – 533003  ",,
"Adusumilli Gopalakrishnaiah and Sugarcane Growers Siddhartha Degree College of Arts and Science, Vuyyuru, Krishna – 521165  ",,
"Akkineni Nageswara Rao College, Gudivada, Krishna – 521301  ",,
"Andhra Christian College, Sambasivapet, Guntur – 522001 ",,
"Andhra Loyola College, Vijayawada – 520008 ",,
"Andhra Pradesh Residential Degree College, Guntur – 522439 (First Cycle, assessed as per old methodology)",,
"Annamacharya College of Pharmacy, New Boyanapalli, Rajampet, Kadapa – 516216
 
",,
"Audisankara College of Engineering and Technology, Gudur, Nellore – 524101 
(Second Cycle)
",,
"Audisankara Institute of Technology, Gudur, Nellore – 524101 
 
",,
"Avanthi Institute of Engineering and Technology, Tamaram, Makavarapalem, Visakhapatnam – 531113  ",,
"B. V. K. College, Dwarakanagar, Visakhapatnam – 530016 
(First Cycle)
",,
"Balaji Institute of Engineering and Management Studies, Ramannapalem, Kodavuluru, Nellore – 524366 
(First Cycle)
",,
"Bhagawan Sri Satyasai Baba Degree College, Tadikonda, Guntur – 522236 
(First Cycle)
",,
"Ch. S. D. St. Theresa's Autonomous College for Women, Gavaravaram, Sanivarapupeta, West Godavari, Eluru – 534003 
(Fourth Cycle)
7 Years Validity
",,
"Chalapathi Institute of Engineering and Technology, Guntur – 522034  ",,
"CSSR and SRRM Degree and PG College, Kamalapuram, Cuddapah – 516289 
(First Cycle)
",,
"Devineni Venkata Ramana and Dr. Himasekhar MIC College of Technology, Kanchikacherla, Krishna, Vijayawada – 521180  ",,
"Dharma Apparao College, Nuzvid, Krishna – 521201 ",,
"Dr. B. V. Raju Institute of Computer Education, Vishnupur, Bhimavaram, West Godavari – 534202 ",,
"Dr. V. S. Krishna Government Degree College, Maddilapalem, Visakhapatnam – 530013 
(Third Cycle)
",,
"G. Pullaiah College of Engineering and Technology, Pasupula, Kurnool – 518452 ",,
"Government College for Women, Women's College Road, Srikakulam – 532001  ",,
"Government College, Anantapur – 515001 ",,
"Government Degree College (Men), Srikakulam – 532001 
(Third Cycle)
",,
"Government Degree College, Chebrole Post, Guntur – 522212 ",,
"Government Degree College, Kurnool, Banaganapalle – 518124 ",,
