Name of the University
"Andhra University,Visakhapatnam–530003   "
"Rashtriya Sanskrit Vidyapeetha (Deemed-to-be-University u/s 3 of the UGC Act  1956), Tirupati – 517507 "
Sri Krishnadevaraya University Anantapur – 515003  
Vignan's Foundation for Science Technology and Research Vadlamudi  
Yogi Vemana University Kadapa (Cuddapah) – 516003 
"Acharya Nagarjuna University, Guntur – 522510 "
"Gandhi Institute of Technology and Management [GITAM] (Deemed-to-be-University u/s 3 of the UGC Act 1956), Rushikonda, Visakhapatnam – 530045 "
"Jawaharlal Nehru Technological University Kakinada, East Godavari, Kakinada – 533003  "
"Sri Padmavati Mahila Visvavidyalayam, Tirupati – 517502 "
"Sri Venkateswara University, Tirupati, Chittoor - 517502 "
"Rayalaseema University,National Highway 40, Nandyal Road,Kurnool - 518007 "
"National Institute of Technology, Itanagar – 791112 "
"Rajiv Gandhi University, Rono Hills, Itanagar, 791112 "
"Assam University, Silchar, 788011 Assam( Second Cycle)   "
"Tezpur University, Tezpur – 784028 "
Assam Don Bosco University (Re-assessment) 
"Dibrugarh University, Dibrugarh – 786004 "
"Gauhati University ,Gopinath Bardoloi Nagar,Guwahati - 781014 "
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur – 842001 "
"Central University of South Bihar, Patna – 800014 "
"Chanakya National Law University, Patna – 800001 "
"Kameshwar Singh Darbhanga Sanskrit University, Darbhanga – 846008  "
"Lalit Narayan Mithila University,Kameshwarnagar, Darbhanga, 846004 "
"Magadh University, Bodhgaya, Gaya – 824234 "
"Tilka Manjhi Bhagalpur University, Bhagalpur – 812007 "
"Guru Ghasidas Vishwavidyalaya, Koni, Bilaspur, 495009    "
Indira Kala Sangit Vishwavidyalaya Khairagarh Dist. Rajnandgaon 491881 Chhattisgarh (Frist Cycle)
"Dr. C. V. Raman University, Bilaspur – 495113 "
"Pandit Ravishankar Shukla University, Raipur – 492010 "
"Bharat Ratna Dr. B.R. Ambedkar University, Lothian Road, Kashmere Gate, 110006 New Delhi  "
"Guru Gobind Singh Indraprastha University, Dwarka, New Delhi "
"Indian Institute of Foreign Trade  (Deemed to be University  u/s 3 of the UGC Act 1956), Qutab  Institutional Area, 110016 "
"Indraprastha Institute of Information Technology, Okhla Industrial Estate, Phase-III , 110020 "
"Jamia Millia Islamia, Maulana Mohammed Ali Jauhar Marg, 110025 "
"National Law University, Sector 14, Dwarka – 110078 "
"School of Planning and Architecture (Deemed to be University  u/s 3 of the UGC Act 1956)4, Block-B Indraprastha Estate 110002, New Delhi "
"Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha (Deemed to be University  u/s 3 of the UGC Act 1956), B-4, Qutub Institutional Area, 110016 "
"Indian Agricultural Research Institute (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Delhi – 110012 
(First Cycle)
"
"Indian Law Institute (Deemed-to-be-University u/s 3 of the UGC Act 1956), Delhi – 110001 "
"Institute of Liver and Biliary Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), New Delhi – 110070 "
"Jamia Hamdard (Hamdard University) (Deemed-to-be-University u/s 3 of the UGC Act 1956), Hamdard Nagar, Delhi – 110062 "
"Jawaharlal Nehru University, Delhi – 110067 
(Second Cycle)
"
"Goa University,P.O. Goa University, Taleigao Plateau 403206 Goa  "
"Charotar University of Science and Technology (CHARUSAT), Anand – 388421 "
"Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT),Gandhinagar – 382007 "
"Gujarat National Law University, Gandhinagar – 382007 "
"Gujarat University, Ahmedabad, 380009(Second Cycle)"
"Gujarat Vidyapith, Ahmedabad – 380014 "
"Hemchandracharya North Gujarat University,Patan – 384265 "
"Nirma University, Ahmedabad – 382481(Second Cycle)"
"Saurashtra University, University Campus Rajkot 360005  "
"Sumandeep Vidyapeeth, Vadodara "
"Central University of Gujarat, Gandhinagar – 382030 "
"Dharmsinh Desai University, Nadiad – 387001 "
"Gujarat Ayurved University, Jamnagar – 361008 "
"Gujarat Forensic Sciences University, Gandhinagar – 382009 "
"Pandit Deendayal Petroleum University, Raisan, Gandhinagar, Ahmedabad – 382007 "
"Sardar Patel University, Vallabh Vidyanagar – 388120  "
"The Maharaja Sayajirao University of Baroda, Vadodara – 390002 "
"Veer Narmad South Gujarat University, Surat – 395007 "
"Chaudhary Devi Lal University, Sirsa – 125055 "
"Guru Jambheshwar University of Science & Technology, Hisar, 125001 Haryana "
"Lingaya’s University,Faridabad "
"Maharshi Markandeshwar University,Mullana-Ambala "
"Manav Rachna International University,Faridabad  "
"O. P. Jindal Global University, Sonipat – 131001 "
"O. P. Jindal Global University, Sonipat – 131001 "
"Central University of Haryana, Mahendragarh – 123029 "
"Deenbandhu Chhotu Ram University of Science and Technology, Murthal, Sonepat – 131039 

"
"Kurukshetra University, Kurukshetra – 136119 
(Third Cycle)

"
"Maharishi Markandeshwar University, Sadopur, Ambala – 134007 "
"Pt. B. D. Sharma University of Health Sciences, Rohtak – 124001 "
"YMCA University of Science and Technology, Faridabad – 121006 
(First Cycle)
"
"Chitkara University, Solan – 174103 "
"Central University of Himachal Pradesh, Dharamshala, Kangra – 176215 "
"Himachal Pradesh University, Shimla – 171005 "
"Shoolini University of Biotechnology and Management Sciences, Solan – 173229  "
"Manav Bharti University, Laddo, Sultanpur, Solan – 173229 
(First Cycle)
"
"Jaypee University of Information Technology, Waknaghat, Kandaghat, Solan – 173215 
(Second Cycle)
"
Eternal University 
"Islamic University of Science and Technology,Awantipora – 192122 "
"Central University of Jammu, Samba, Jammu – 181143 
(First Cycle
"
"Central University of Kashmir, Srinagar – 190015 
(First Cycle)
"
"University of Jammu, Jammu – 180006
 
"
"Kolhan University, Chaibasa – 833202 "
"Vinoba Bhave University, Hazaribag – 825301 "
"Ranchi University, Ranchi – 834001 "
"Karnatak University, Pavate Nagar, Dharwad, 580003 Karnataka  "
"Karnataka State Women's University, Bijapur – 586108 "
"KLE Academy of Higher Education and Research (Deemed-to-be-University u/s 3 of the UGC Act 1956), Belgaum – 590010 "
"Mangalore University, Mangalagangotri, Mangalore, 574199 Karnataka   "
"Nitte University, University Enclave,Medical Sciences Complex, Deralakatte,Mangalore – 575018 Re-Assessment "
"Sri Siddhartha Academy of Higher Education, Tumkur "
"BLDE University, Vijayapur  "
"Gulbarga University, Gulbarga – 585106 "
"International Institute of Information Technology (Deemed to be University  u/s 3 of the UGC Act 1956), Electronics City, Hosur Road, Bangalore, 560100  Karnataka "
"Manipal Academy of Higher Education (Deemed –to-be University u/s 3 of the UGC Act), Udupi-576119 "
"Sri Devaraj Urs Academy of Higher Education and Research, Kolar "
"University of Mysore,  Mysore, Karnataka   "
"Yenepoya University, Mangalore   "
"Bangalore University, Bangalore – 560056 "
"Central University of Karnataka, Gulbarga – 585311 "
"Christ University (Deemed-to-be-University u/s 3 of the UGC Act 1956), Bengaluru – 560029 (First Cycle, assessed as per old methodology)"
"Davangere University, Shivagangothri, Davangere – 577002  "
"Jain University (Deemed-to-be-University u/s 3 of the UGC Act 1956), Bengaluru – 560027(First Cycle, Re-assessment)"
"Jawaharlal Nehru Centre for Advanced
Scientific Research (JNCASR) (Deemed-to-be-University u/s 3 of the UGC Act 1956), Bengaluru – 560064  
"
"Karnataka State Law University, Hubballi – 580025 "
"Kuvempu University, Shankaraghatta,
Shimoga – 577451 
(Third Cycle)
"
"Swami Vivekananda Yoga Anusandhana Samsthana (Deemed-to-be-University u/s 3 of the UGC Act 1956), Kempegowda Nagar, Bengaluru – 560019  "
"JSS Academy of Higher Education and Research (Deemed-to-be-University u/s 3 of the UGC Act 1956),Sri Shivarathreeshwara Nagar,Mysuru - 570015 "
"Central University of Kerala, Kasargod – 671316 "
"Cochin University of Science and Technology, Cochin – 682022 
(Second Cycle)
"
"Mahatma Gandhi University, Athirampuzha, Kottayam – 686560 
(Third Cycle)
"
"University of Calicut, Malappuram – 673635 (Third Cycle"
"Kannur University, Kannur – 670002 "
Sree Sankaracharya University of Sanskrit Kalady Post Ernakulam Dist 683574 Kerala  
"University of Kerala, Thiruvananthapuram, 695034 "
"Atal Bihari Vajpayee - Indian Institute of Information Technology & Management (Deemed to be University  u/s 3 of the UGC Act 1956), Morena Link Road, Gwalior, 474015 Madhya Pradesh  "
"Awadhesh Pratap Singh University, Rewa – 486003 "
"Barkatullah University, Bhopal, 462026 "
"Devi Ahilya Vishwavidyalaya, R.N. Tagore Marg, Indore, 452001 "
"Dr. Harisingh Gour Vishwavidyalaya, Sagar, 470003 "
"Indira Gandhi National Tribal University, Amarkantak – 484887 "
"Jiwaji University, Gwalior, 474011 "
"Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya, Chitrakoot, Satna – 485334 (First Cycle"
"Rani Durgavati Vishwavidyalaya, Jabalpur, 482001 "
"Vikram University, Ujjain – 456010 "
"Jaypee University of Engineering and Technology, Guna – 473226 
 
"
"Lakshmibai National Institute of Physical Education (Deemed-to-be-University u/s 3 of UGC Act 1956), Gwalior – 474002  

"
"ITM University, Gwalior ,Turari, NH-75, Jhansi Road,Gwalior - 474001  "
"D.Y. Patil University(Deemed to be University  u/s 3 of the UGC Act 1956), Nerul, Navi Mumbai, 400614 Maharashtra (Second Cylce)"
"Deccan College Post-Graduate and Research Institute (Deemed to be University  u/s 3 of the UGC Act 1956), Pune, 411006 "
"Defence Institute of Advanced Technology (Deemed to be University  u/s 3 of the UGC Act 1956), Girinagar, Pune, 411025 "
"Dr. Babasaheb Ambedkar MarathwadaUniversity, University Campus,Aurangabad, Maharashtra "
"Dr. Babasaheb AmbedkarTechnologicalUniversity,Raigad Dist, 402103 "
"Dr. D.Y. Patil Vidyapeeth (Deemed to be University  u/s 3 of the UGC Act 1956), Pune, 411018 "
"Gokhale Institute of Politics and Economics  (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pune – 411004  "
"Homi Bhabha National Institute (Deemed to be University  u/s 3 of the UGC Act 1956), Mumbai, 400094 "
"Krishna Institute of Medical Science, Karad "
"Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha, 442005 "
"MGM Institute of Health Sciences (Deemed to be University  u/s 3 of the UGC Act 1956), Kamothe,Navi Mumbai, 410209        "
"North Maharashtra University,Jalgaon, 425001 "
"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur, 440001 Maharashtra "
"Sant Gadge Baba Amravati University, Amravati – 444602 "
"Shivaji University,Vidyanagar, Kolhapur, 416004 Maharashtra "
"Shreemati Nathibai Damodar Thackersey Women's University, Mumbai – 400020 "
"Solapur University,Kegaon, Solapur – 413255 "
"Swami Ramanand Teerth Marathwada University, Nanded, 431606 "
"Symbiosis International University, Pune – 412115 "
"Tata Institute of Social Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), Mumbai – 400088  "
"Tilak Maharashtra Vidyapeeth, Pune "
"Bharati Vidyapeeth University (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pune – 411030  
7 Years Validity
"
"D. Y. Patil Education Society (Deemed-to-be-University u/s 3 of the UGC Act 1956), Kolhapur – 416006 
(Second Cycle)
"
"Datta Meghe Institute of Medical Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), 
Wardha – 442004 
(Third Cycle)
7 Years Validity
"
"Kavikulaguru Kalidas Sanskrit University, Ramtek, Nagpur – 441106  "
"Pravara Institute of Medical Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), Loni, Rahata, Ahmednagar – 413736  "
